image_path,race,gender,age
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0000.png,White,0,6
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0001.png,Black,1,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0002.png,Asian,1,1
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0003.png,Black,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0004.png,Black,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0005.png,Indian,0,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0006.png,Latino,0,5
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0007.png,Black,1,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0008.png,Indian,0,2
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0009.png,Latino,0,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0010.png,White,0,6
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0011.png,White,0,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0012.png,Middle Eastern,0,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0013.png,Black,0,2
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0014.png,Black,1,7
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0015.png,Indian,1,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0016.png,Southeast Asian,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0017.png,Southeast Asian,0,5
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0018.png,Asian,1,0
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0019.png,Southeast Asian,0,6
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0020.png,Black,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0021.png,Latino,1,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0022.png,Asian,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0023.png,Indian,1,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0024.png,Indian,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0025.png,Asian,1,4
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0026.png,Indian,1,6
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0027.png,Indian,1,2
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0028.png,Black,0,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0029.png,Asian,1,3
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0030.png,Asian,1,5
/home/morganrcu/proyectos/venturalitica-integration/venturalitica-sdk-samples/datasets/vision/fairface_cache/images/fairface_0031.png,White,1,2
